Loan_Amount_Term,Credit_History,LoanAmount_log,TotalIncome_log,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status
360.0,1.0,4.700480365792417,8.651724084373843,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.836281906951478,8.428580533059634,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.337538079701318,8.824677891164198,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.605170185988092,8.494129251817686,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.356708826689592,8.09437844497296,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,Y
360.0,1.0,5.0238805208462765,8.628197749459149,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,Y
360.0,1.0,4.07753744390572,7.70796153183549,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,Y
360.0,0.0,4.990432586778736,8.263848131368906,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,N
240.0,1.0,5.634789603169249,9.520248603186129,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.812184355372417,8.476371196895983,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,Y
360.0,1.0,4.499809670330265,8.036249942132116,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,Y
360.0,1.0,5.087596335232384,8.216358332386156,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,Y
180.0,1.0,3.6888794541139363,8.334711621820917,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,Y
360.0,0.0,5.111987788356544,9.406975663409597,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,N
360.0,1.0,4.820281565605037,8.448057452581375,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,4.875197323201151,8.64241515616962,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.298317366548036,8.92252495730139,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.836281906951478,8.323365694436081,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,Y
360.0,1.0,5.703782474656201,9.749286871458828,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
180.0,1.0,4.605170185988092,8.470101583882387,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,3.871201010907891,8.162801353492073,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,Y
180.0,1.0,3.332204510175204,7.641564441260972,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,Y
360.0,1.0,4.61512051684126,8.271036865792954,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.8283137373023015,8.233503140233994,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,Y
360.0,1.0,5.66988092298052,9.188094763028863,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,0.0,4.997212273764115,10.085809109330082,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,N
360.0,1.0,4.941642422609304,8.6328406149422,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.616771097666572,9.328123407632566,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.04305126783455,8.434897948689407,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,Y
180.0,1.0,4.8283137373023015,8.579980179515003,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.31748811353631,7.815207062189088,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,Y
360.0,1.0,5.2574953720277815,8.863615758890619,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,Y
360.0,1.0,5.0238805208462765,8.507344855361422,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Y
360.0,1.0,5.062595033026967,8.610865667278873,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
360.0,1.0,4.61512051684126,8.361941906144946,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,Y
